Kode MK,Nama MK,SKS
23U01110802,Pendidikan Kewarganegaraan,2
23U01111002,Wawasan Budaya dan Ipteks BMI,2
23U01111102,Bahasa Inggris,2
23H01110103,Matematika Dasar 1,3
23D12110102,Pengantar Teknologi Informasi,2
23D12110203,Dasar Pemrograman Komputer,3
23D12110303,Sistem Digital,3
23D12110403,Dasar Listrik dan Elektronika,3
